Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000583855,0.530823, 0.309291
us_000486471,0.530823, 0.311675
us_000478680,0.530823, 0.311967
us_000473753,0.530823, 0.323940
us_000551044,0.530823, 0.325151
us_000491230,0.530823, 0.330860
us_000491329,0.530823, 0.333621
us_000504480,0.530823, 0.334964
us_000288288,0.530823, 0.339507
us_000517715,0.530823, 0.344858
us_000491213,0.530823, 0.353230
us_000570792,0.530823, 0.443701
us_000499254,0.530823, 0.453343
us_000287337,0.530823, 0.770148
us_000491169,0.530823, 1.083493
pr_000868348,0.496213, 0.000000
pr_000972692,0.496213, 0.000000
us_000507441,0.496213, 0.000000
us_000535264,0.496213, 0.000000
us_000526259,0.496213, 0.000000
us_000537458,0.496213, 0.000000
us_000533051,0.496213, 0.000000
us_000506686,0.496213, 0.000000
us_000563863,0.496213, 0.000000
us_000518723,0.496213, 0.000000
us_000520450,0.496213, 0.000000
us_000566505,0.496213, 0.000000
us_000568926,0.496213, 0.000000
us_000493739,0.496213, 0.000000
us_000512953,0.496213, 0.000000
us_000563158,0.496213, 0.000000
us_000471296,0.496213, 0.000000
pr_000958865,0.496213, 0.000040
us_000536396,0.496213, 0.001686
pr_001081057,0.472524, 0.000000
pr_000908718,0.472524, 0.000000
pr_000289787,0.472524, 0.000000
pr_000710526,0.472524, 0.000000
pr_001694206,0.472524, 0.000000
us_000498113,0.472524, 0.000001
us_000498266,0.472524, 0.000001
us_000521789,0.472524, 0.000001
us_000521793,0.472524, 0.000001
us_000504851,0.472524, 0.000001
pr_000393626,0.472524, 0.000002
us_000499113,0.472524, 0.001714
us_000499115,0.472524, 0.001714
us_000483810,0.472524, 0.003053
us_000498130,0.472524, 0.034162
us_000516427,0.472524, 0.113598
us_000496739,0.472524, 0.251707
us_000605423,0.426528, 0.000000
us_000474535,0.426528, 0.000000
us_000477092,0.426528, 0.000000
us_000497555,0.426528, 0.000000
us_000568057,0.426528, 0.000000
us_000601521,0.426528, 0.000000
us_000564898,0.426528, 0.000000
us_000568482,0.426528, 0.000000
us_000502939,0.426528, 0.000000
us_000541572,0.426528, 0.000000
us_000502355,0.426528, 0.000168
us_000586538,0.426528, 0.000240
us_000506845,0.426528, 0.000308
us_000556791,0.426528, 0.000648
us_000569311,0.426528, 0.000714
us_000611134,0.426528, 0.001334
us_000601520,0.426528, 0.020777
us_000606593,0.426528, 0.023589
us_000472525,0.426528, 0.062818
us_000478533,0.426528, 0.067147
us_000424373,0.426528, 0.067610
us_000521401,0.426528, 0.078957
us_000475319,0.426528, 0.082482
us_000472614,0.426528, 0.084111
us_000474344,0.426528, 0.087377
us_000476293,0.426528, 0.094351
us_000486329,0.426528, 0.095589
us_000477930,0.426528, 0.097497
us_000607401,0.426528, 0.097497
us_000566236,0.426528, 0.097608
us_000524152,0.426528, 0.097608
us_000480125,0.426528, 0.098430
us_000475600,0.426528, 0.105917
us_000528444,0.426528, 0.109246
us_000546122,0.426528, 0.123752
us_000459145,0.426528, 0.127999
us_000542610,0.426528, 0.178916
us_000474402,0.426528, 0.213289
pr_000360675,0.410027, 0.000000
pr_001039271,0.410027, 0.000000
pr_001902552,0.410027, 0.000000
pr_000768677,0.410027, 0.000000
pr_001814577,0.410027, 0.000000
pr_000652303,0.410027, 0.000000
pr_000737098,0.410027, 0.000000
pr_000986115,0.410027, 0.000000
pr_000940243,0.410027, 0.000000
pr_000629362,0.410027, 0.000000
pr_000978064,0.410027, 0.000000
pr_000853512,0.410027, 0.000000
pr_000898959,0.410027, 0.000000
pr_001712820,0.410027, 0.000000
pr_000982391,0.410027, 0.000000
pr_000349957,0.410027, 0.000000
pr_000264354,0.410027, 0.000000
pr_000597831,0.410027, 0.000000
pr_002126851,0.410027, 0.000000
pr_002129313,0.410027, 0.000000
pr_000323881,0.410027, 0.000000
pr_000587081,0.410027, 0.000000
pr_002068282,0.410027, 0.000000
pr_000016574,0.410027, 0.000000
pr_001739287,0.410027, 0.000000
pr_002116492,0.410027, 0.000000
pr_001146589,0.410027, 0.000000
pr_000673599,0.410027, 0.000000
pr_001060631,0.410027, 0.000000
pr_000588822,0.410027, 0.000000
pr_001872655,0.410027, 0.000000
pr_000588680,0.410027, 0.000000
pr_000738767,0.410027, 0.000000
pr_001898321,0.410027, 0.000000
pr_001909397,0.410027, 0.000000
pr_001009346,0.410027, 0.000000
pr_001903699,0.410027, 0.000000
pr_002130015,0.410027, 0.000000
pr_000254223,0.410027, 0.000000
pr_001737666,0.410027, 0.000000
pr_000099621,0.410027, 0.000000
pr_000990185,0.410027, 0.000000
pr_000996820,0.410027, 0.000000
pr_000275167,0.410027, 0.000002
pr_000673616,0.410027, 0.000003
pr_000836798,0.410027, 0.000006
pr_000831512,0.410027, 0.000007
pr_000643458,0.410027, 0.000010
pr_000825576,0.410027, 0.000016
pr_001604541,0.410027, 0.000023
pr_000202702,0.410027, 0.000031
pr_001800530,0.410027, 0.000053
pr_001983446,0.410027, 0.000053
pr_001725103,0.410027, 0.000101
us_000565247,0.410027, 0.009953
us_000484780,0.410027, 0.063906
us_000500727,0.410027, 0.064439
us_000584704,0.410027, 0.065125
us_000549206,0.410027, 0.067196
us_000484758,0.410027, 0.067196
us_000559117,0.410027, 0.067649
