Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000549088,0.137370, 0.233844
us_000553826,0.137370, 0.234481
us_000597737,0.137370, 0.235841
us_000597773,0.137370, 0.235841
us_000589341,0.137370, 0.236225
us_000572951,0.137370, 0.237274
us_000571415,0.137370, 0.237710
us_000598456,0.137370, 0.238020
us_000547650,0.137370, 0.238216
us_000527330,0.137370, 0.239002
us_000588304,0.137370, 0.239039
us_000588320,0.137370, 0.239039
us_000580408,0.137370, 0.239622
us_000497719,0.137370, 0.240025
us_000578033,0.137370, 0.240349
us_000548054,0.137370, 0.240581
us_000538304,0.137370, 0.240799
us_000453230,0.137370, 0.241712
us_000588261,0.137370, 0.242482
us_000565430,0.137370, 0.243131
us_000587500,0.137370, 0.243382
us_000587307,0.137370, 0.243382
us_000469980,0.137370, 0.243382
us_000587655,0.137370, 0.243382
us_000466405,0.137370, 0.243670
us_000520929,0.137370, 0.243921
us_000578627,0.137370, 0.244235
us_000550415,0.137370, 0.244789
us_000572898,0.137370, 0.245423
us_000572917,0.137370, 0.245423
us_000530936,0.137370, 0.245947
us_000599323,0.137370, 0.246322
us_000577142,0.137370, 0.246322
us_000553785,0.137370, 0.246623
us_000591672,0.137370, 0.246623
us_000552404,0.137370, 0.246623
us_000582198,0.137370, 0.246749
us_000598499,0.137370, 0.246749
us_000464268,0.137370, 0.247049
us_000396538,0.137370, 0.247437
us_000578654,0.137370, 0.247535
us_000602716,0.137370, 0.247618
us_000598792,0.137370, 0.247618
us_000572825,0.137370, 0.247618
us_000572840,0.137370, 0.247618
us_000582156,0.137370, 0.248501
us_000598496,0.137370, 0.248501
us_000582906,0.137370, 0.248591
us_000594007,0.137370, 0.248706
us_000461023,0.137370, 0.249401
us_000509971,0.137370, 0.249401
us_000547843,0.137370, 0.249401
us_000525120,0.137370, 0.249565
us_000461364,0.137370, 0.250296
us_000537739,0.137370, 0.252553
us_000512678,0.137370, 0.254530
