Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01206897,3.0,(21|20)
0.01200000,3.0,(16|16)
0.01195219,2.0,(27|44)
0.01190476,2.0,(15|15)
0.01183432,2.0,(3|15)
0.01181102,1.0,(46|13)
0.01176471,2.0,(46|38)
0.01154401,2.0,(7|23)
0.01153846,2.0,(36|25)
0.01149425,2.0,(0|16)
0.01145038,2.0,(49|39)
0.01136364,1.0,(14|36)
0.01136364,1.0,(40|29)
0.01123596,1.0,(29|25)
0.01123596,2.0,(34|36)
0.01114206,2.0,(5|12)
0.01114206,2.0,(6|13)
0.01111111,1.0,(7|30)
0.01111111,1.0,(28|41)
0.01105442,3.0,(21|21)
0.01098901,2.0,(4|35)
0.01098901,3.0,(5|23)
0.01092896,1.0,(32|1)
0.01085482,3.0,(20|23)
0.01082251,2.0,(33|15)
0.01081081,2.0,(14|35)
0.01075269,2.0,(3|33)
0.01070336,2.0,(31|21)
0.01067616,1.0,(42|9)
0.01066667,2.0,(24|40)
0.01063830,2.0,(8|47)
0.01063830,1.0,(30|47)
0.01063830,2.0,(43|23)
0.01052632,1.0,(7|25)
0.01041667,2.0,(21|37)
0.01041667,1.0,(45|8)
0.01033058,2.0,(16|21)
0.01032702,2.0,(35|23)
0.01030928,2.0,(43|25)
0.01020408,2.0,(34|0)
0.01020408,1.0,(35|0)
0.01015228,2.0,(47|46)
0.01010101,2.0,(24|41)
0.01000000,3.0,(13|10)
0.01000000,1.0,(15|9)
0.009900990,1.0,(8|4)
0.009685230,2.0,(15|48)
0.009677419,1.0,(25|48)
0.009615385,2.0,(6|33)
0.009541985,2.0,(25|21)
0.009463723,2.0,(11|9)
0.009398496,2.0,(21|35)
0.009389671,2.0,(44|26)
0.009345794,2.0,(12|6)
0.009259259,2.0,(5|48)
0.009202454,2.0,(40|27)
0.009118541,2.0,(44|19)
0.009090909,1.0,(32|5)
0.008968610,2.0,(28|48)
0.008928572,1.0,(37|22)
0.008928572,2.0,(38|37)
0.008823530,1.0,(19|26)
0.008771930,1.0,(30|0)
0.008746356,1.0,(31|40)
0.008741259,2.0,(32|8)
0.008695652,2.0,(27|31)
0.008658009,2.0,(31|10)
0.008620690,2.0,(44|38)
0.008547009,2.0,(17|42)
0.008547009,1.0,(38|8)
0.008510638,2.0,(38|35)
0.008438818,2.0,(3|25)
0.008426966,2.0,(18|34)
0.008264462,1.0,(17|27)
0.008196721,1.0,(20|16)
0.008196721,2.0,(22|35)
0.008196721,1.0,(32|2)
0.008196721,2.0,(43|39)
0.008116883,3.0,(28|30)
0.008108108,2.0,(18|16)
0.008032128,1.0,(7|26)
0.007905139,1.0,(6|18)
0.007905139,1.0,(48|20)
0.007874016,1.0,(13|15)
0.007827789,3.0,(36|14)
0.007812500,1.0,(15|28)
0.007812500,1.0,(47|17)
0.007727975,1.0,(17|21)
0.007722008,1.0,(47|38)
0.007662835,2.0,(41|23)
0.007633588,2.0,(34|4)
0.007604563,2.0,(7|46)
0.007594937,2.0,(31|44)
0.007585335,2.0,(4|28)
0.007575758,2.0,(2|31)
0.007518797,2.0,(33|34)
0.007462686,1.0,(19|27)
0.007462686,1.0,(20|18)
0.007434944,2.0,(28|46)
0.007434944,2.0,(49|22)
0.007407407,1.0,(5|15)
0.007407407,1.0,(37|27)
0.007393715,1.0,(16|20)
0.007299270,2.0,(32|7)
0.007272727,2.0,(36|9)
0.007246377,1.0,(13|35)
0.007194245,2.0,(15|47)
0.007181329,2.0,(6|29)
0.007159905,2.0,(18|47)
0.007159905,2.0,(26|14)
0.007142857,1.0,(33|49)
0.007092198,1.0,(32|49)
0.007079646,2.0,(29|10)
0.006849315,2.0,(13|23)
0.006849315,2.0,(43|48)
0.006720430,2.0,(23|18)
0.006700167,2.0,(17|19)
0.006666667,2.0,(40|45)
0.006644518,2.0,(1|26)
0.006622517,1.0,(4|3)
0.006622517,1.0,(30|3)
0.006578947,2.0,(14|24)
0.006465517,1.0,(40|4)
0.006410256,1.0,(27|38)
0.006369427,1.0,(31|4)
0.006329114,1.0,(9|3)
0.006309148,1.0,(18|7)
0.006309148,2.0,(46|49)
0.006289308,2.0,(27|15)
0.006289308,3.0,(28|34)
0.006289308,1.0,(28|39)
0.006289308,1.0,(29|42)
0.006289308,2.0,(33|25)
0.006211180,1.0,(18|24)
0.006097561,1.0,(2|41)
0.006085193,2.0,(22|18)
0.006079027,2.0,(46|0)
0.006079027,2.0,(49|40)
0.006072875,2.0,(6|26)
0.006060606,1.0,(24|29)
0.006060606,2.0,(33|16)
0.006060606,2.0,(34|16)
0.006060606,1.0,(41|1)
0.006042296,2.0,(30|12)
0.006024096,1.0,(27|22)
0.005988024,2.0,(6|12)
0.005805515,2.0,(34|7)
0.005797102,2.0,(12|10)
