Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
pr_002262537,0.796272,0.321356
pr_001601518,0.796272,0.321409
us_000496389,0.796272,0.321424
us_000539380,0.796272,0.321472
us_000482566,0.796272,0.321472
pr_002157695,0.796272,0.321513
us_000539760,0.796272,0.321521
pr_002167966,0.796272,0.321594
pr_001994102,0.796272,0.321607
us_000556221,0.796272,0.321614
us_000556157,0.796272,0.321631
us_000512604,0.796272,0.321641
pr_002198050,0.796272,0.321647
pr_002228988,0.796272,0.321649
us_000489814,0.796272,0.321729
pr_001874641,0.796272,0.321784
us_000493941,0.796272,0.321796
pr_002226005,0.796272,0.321824
pr_002198932,0.796272,0.321824
us_000114121,0.796272,0.321915
pr_001694457,0.796272,0.321933
pr_001599502,0.796272,0.321963
us_000490320,0.796272,0.321974
us_000490279,0.796272,0.321976
us_000490171,0.796272,0.321977
us_000490135,0.796272,0.321985
pr_001739041,0.796272,0.321992
pr_002228644,0.796272,0.321995
us_000539688,0.796272,0.322013
pr_001611104,0.796272,0.322031
us_000482640,0.796272,0.322077
pr_002223242,0.796272,0.322086
pr_002187103,0.796272,0.322088
pr_001602547,0.796272,0.322092
pr_002201837,0.796272,0.322093
pr_002083585,0.796272,0.322138
us_000466084,0.796272,0.322146
pr_002090354,0.796272,0.322216
us_000539729,0.796272,0.322217
us_000487433,0.796272,0.322290
pr_002169464,0.796272,0.322302
us_000539037,0.796272,0.322327
pr_002201948,0.796272,0.322334
pr_002273763,0.796272,0.322342
pr_002099953,0.796272,0.322344
us_000490349,0.796272,0.322351
pr_001935908,0.796272,0.322480
us_000477905,0.796272,0.322482
pr_001913517,0.796272,0.322505
pr_001960131,0.796272,0.322565
pr_001155362,0.796272,0.322659
pr_002118959,0.796272,0.322686
pr_002123347,0.796272,0.322692
us_000488298,0.796272,0.322700
pr_002063755,0.796272,0.322775
us_000461696,0.796272,0.322805
pr_001858602,0.796272,0.322812
pr_002230087,0.796272,0.322843
pr_002262696,0.796272,0.322843
pr_001696332,0.796272,0.322848
pr_001397113,0.796272,0.322936
pr_002124456,0.796272,0.322966
us_000540104,0.796272,0.322974
us_000466195,0.796272,0.322988
us_000466576,0.796272,0.323027
us_000103532,0.796272,0.323028
us_000488350,0.796272,0.323075
us_000540403,0.796272,0.323085
pr_001767226,0.796272,0.323094
pr_002124455,0.796272,0.323153
pr_001922935,0.796272,0.323224
pr_002076825,0.796272,0.323226
pr_001399303,0.796272,0.323233
pr_001717648,0.796272,0.323265
us_000499184,0.796272,0.323283
us_000468224,0.796272,0.323295
us_000489742,0.796272,0.323296
pr_002185678,0.796272,0.323312
pr_001663198,0.796272,0.323315
pr_002195072,0.796272,0.323386
us_000100336,0.796272,0.323394
pr_001975659,0.796272,0.323394
us_000478053,0.796272,0.323438
pr_001652304,0.796272,0.323482
pr_001583739,0.796272,0.323591
us_000490087,0.796272,0.323603
pr_001140370,0.796272,0.323659
pr_002123419,0.796272,0.323660
pr_002176758,0.796272,0.323660
pr_001632573,0.796272,0.323669
pr_001969519,0.796272,0.323713
pr_002262812,0.796272,0.323749
pr_001663205,0.796272,0.323752
pr_001960249,0.796272,0.323769
pr_001957744,0.796272,0.323776
pr_001767773,0.796272,0.323797
pr_002185686,0.796272,0.323813
pr_002260314,0.796272,0.323815
pr_001822693,0.796272,0.323824
pr_002159753,0.796272,0.323924
us_000505990,0.796272,0.323967
us_000509658,0.796272,0.323989
pr_001146639,0.796272,0.324007
pr_001830579,0.796272,0.324015
pr_002191924,0.796272,0.324015
pr_002099887,0.796272,0.324016
pr_002123201,0.796272,0.324047
pr_002131452,0.796272,0.324048
us_000503672,0.796272,0.324119
pr_001914197,0.796272,0.324125
pr_001953436,0.796272,0.324152
us_000465806,0.796272,0.324164
us_000465804,0.796272,0.324164
pr_001971590,0.796272,0.324166
pr_001663206,0.796272,0.324173
pr_001640467,0.796272,0.324191
