Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 42 | Estate Planning (jpg:42,idx:27)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.004424779,1.0,(46|7)
0.004415011,1.0,(40|16)
0.004357298,1.0,(16|24)
0.004347826,1.0,(42|26)
0.004201681,1.0,(18|39)
0.004166667,2.0,(25|3)
0.004166667,1.0,(41|13)
0.004166667,1.0,(43|11)
0.004140787,2.0,(18|31)
0.004065040,1.0,(28|3)
0.003984064,1.0,(21|30)
0.003906250,1.0,(33|38)
0.003906250,1.0,(47|40)
0.003891051,1.0,(23|48)
0.003731343,1.0,(29|25)
0.003703704,1.0,(27|2)
0.003690037,1.0,(9|0)
0.003633061,2.0,(12|0)
0.003496503,1.0,(12|48)
0.003424658,1.0,(29|49)
0.003225806,1.0,(2|15)
0.003174603,1.0,(16|12)
0.003169572,1.0,(19|20)
0.003154574,1.0,(42|13)
0.003144654,1.0,(28|43)
0.003120125,2.0,(35|49)
0.002958580,1.0,(43|37)
0.002949852,1.0,(41|12)
0.002857143,1.0,(16|10)
0.002824859,1.0,(17|21)
0.002816901,1.0,(47|14)
0.002808989,3.0,(21|22)
0.002617801,1.0,(27|21)
0.002617801,1.0,(30|46)
0.002439024,1.0,(22|6)
0.002309469,1.0,(31|44)
0.002270148,2.0,(37|46)
0.002242153,1.0,(41|48)
0.002100840,1.0,(46|24)
0.001949318,1.0,(24|46)
0.001947420,2.0,(32|23)
0.001883239,1.0,(28|0)
0.001872659,1.0,(42|6)
0.001865672,1.0,(35|36)
0.001689189,1.0,(26|46)
0.001424501,1.0,(25|46)
0.001406470,1.0,(37|32)
0.001254705,1.0,(34|10)
0.001083424,1.0,(48|42)
0.001048218,1.0,(37|0)
0.0007830854,1.0,(20|29)
