Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 19 | Real Property Transactions (jpg:19,idx:15)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.006802721,1.0,(3|5)
0.006802721,1.0,(44|12)
0.006756757,1.0,(9|3)
0.006666667,1.0,(3|2)
0.006666667,1.0,(12|16)
0.006666667,2.0,(28|7)
0.006622517,2.0,(6|3)
0.006622517,1.0,(8|7)
0.006622517,1.0,(48|46)
0.006600660,2.0,(7|4)
0.006578947,1.0,(10|37)
0.006550218,1.0,(28|19)
0.006535948,1.0,(18|0)
0.006493506,1.0,(23|13)
0.006451613,1.0,(13|40)
0.006410256,1.0,(24|21)
0.006389776,1.0,(22|30)
0.006369427,1.0,(3|12)
0.006369427,1.0,(3|38)
0.006369427,1.0,(21|13)
0.006369427,1.0,(27|4)
0.006357857,4.0,(12|0)
0.006349206,1.0,(16|12)
0.006329114,1.0,(49|17)
0.006309148,1.0,(42|13)
0.006289308,1.0,(0|22)
0.006289308,2.0,(18|1)
0.006289308,1.0,(23|3)
0.006289308,1.0,(48|24)
0.006269592,2.0,(37|38)
0.006250000,1.0,(43|27)
0.006211180,1.0,(6|27)
0.006211180,1.0,(12|30)
0.006211180,1.0,(48|30)
0.006211180,1.0,(49|30)
0.006172840,1.0,(3|11)
0.006153846,1.0,(40|31)
0.006134969,1.0,(48|38)
0.006097561,1.0,(14|16)
0.006060606,1.0,(16|28)
0.006024096,1.0,(7|42)
0.005988024,1.0,(17|33)
0.005988024,1.0,(27|16)
0.005988024,1.0,(47|10)
0.005899705,1.0,(41|12)
0.005882353,1.0,(40|42)
0.005870841,2.0,(29|47)
0.005870841,2.0,(29|48)
0.005813953,1.0,(42|47)
0.005780347,1.0,(27|19)
0.005747126,1.0,(38|19)
0.005725191,1.0,(46|14)
0.005649718,1.0,(14|48)
0.005649718,1.0,(22|43)
0.005617978,1.0,(19|27)
0.005617978,2.0,(27|28)
0.005464481,1.0,(23|35)
0.005434783,1.0,(1|6)
0.005434783,1.0,(10|26)
0.005434783,1.0,(36|40)
0.005424955,1.0,(19|23)
0.005405406,1.0,(31|1)
