Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
us_000492747,0.134361, 0.000000
us_000474677,0.134361, 0.000000
us_000486988,0.134361, 0.000000
us_000491664,0.134361, 0.000000
us_000464377,0.134361, 0.000000
us_000464516,0.134361, 0.000000
us_000462508,0.134361, 0.000000
us_000467403,0.134361, 0.000000
pr_000421378,0.134361, 0.000006
pr_000519398,0.134361, 0.000053
pr_000517471,0.134361, 0.000055
pr_000514100,0.134361, 0.000115
us_000483702,0.134361, 0.000416
pr_001005868,0.134361, 0.002310
us_000581974,0.134361, 1.796421
us_000574571,0.134361, 2.752444
us_000574512,0.134361, 2.757743
us_000581973,0.134361, 2.763076
us_000459210,0.134361, 2.890014
us_000553041,0.128533, 0.000000
us_000552308,0.128533, 0.000000
pr_001644419,0.128533, 0.000000
us_000567686,0.128533, 0.000000
us_000534668,0.128533, 0.000000
us_000567680,0.128533, 0.000000
us_000571706,0.128533, 0.000000
us_000553099,0.128533, 0.000000
us_000552105,0.128533, 0.000000
us_000552103,0.128533, 0.000000
us_000534696,0.128533, 0.000000
us_000503598,0.128533, 0.000000
us_000498930,0.128533, 0.000000
us_000523009,0.128533, 0.000000
us_000528890,0.128533, 0.000000
us_000504446,0.128533, 0.000000
us_000555385,0.128533, 0.000000
us_000489506,0.128533, 0.000000
us_000498541,0.128533, 0.000000
us_000498444,0.128533, 0.000000
pr_000594926,0.128533, 0.000002
pr_000888948,0.128533, 0.000002
pr_001071050,0.128533, 0.000003
pr_000837717,0.128533, 0.000004
pr_001070843,0.128533, 0.000007
pr_001111011,0.128533, 0.000010
pr_001816886,0.128533, 0.000010
pr_000945480,0.128533, 0.000017
pr_000737528,0.128533, 0.000019
pr_001671998,0.128533, 0.000020
pr_000563130,0.128533, 0.000028
pr_001705915,0.128533, 0.000039
us_000606569,0.128533, 0.000044
us_000599477,0.128533, 0.000112
us_000460541,0.128533, 0.000675
us_000478077,0.128533, 0.000705
us_000536994,0.128533, 0.000879
us_000542906,0.128533, 0.000909
us_000503156,0.128533, 0.001068
us_000475086,0.128533, 0.001075
us_000514786,0.128533, 0.001088
us_000496794,0.128533, 0.001132
us_000594844,0.128533, 0.001325
us_000550677,0.128533, 0.001611
us_000498933,0.128533, 0.001893
us_000478617,0.128533, 0.001925
us_000577298,0.128533, 0.002137
us_000497079,0.128533, 0.002565
us_000516751,0.128533, 0.002677
us_000478183,0.128533, 0.003127
us_000542089,0.128533, 0.003305
us_000501803,0.128533, 0.003769
us_000614369,0.128533, 0.004512
us_000505246,0.128533, 0.006259
us_000499614,0.128533, 0.007320
us_000542579,0.128533, 0.009862
us_000483650,0.128533, 0.010035
us_000477095,0.128533, 0.010301
us_000566346,0.128533, 0.010845
us_000562589,0.128533, 0.015323
us_000475890,0.128533, 0.015475
us_000565017,0.128533, 0.017221
us_000582549,0.128533, 0.018585
us_000546377,0.128533, 0.021337
us_000575308,0.128533, 0.026354
us_000469801,0.128533, 0.030733
us_000538390,0.128533, 0.031518
us_000463636,0.128533, 0.034271
us_000587536,0.128533, 0.065471
us_000314503,0.128533, 0.127623
us_000529455,0.128533, 6.773587
us_000587547,0.128533, 8.514680
us_000557446,0.124505, 0.000000
us_000554999,0.124505, 0.000000
us_000528142,0.124505, 0.000000
us_000503770,0.124505, 0.000000
pr_000715733,0.124505, 0.000001
pr_001917739,0.124505, 0.000002
pr_001982605,0.124505, 0.000002
pr_000788812,0.124505, 0.000002
pr_001922608,0.124505, 0.000002
