Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
pr_000989343,0.252130, 0.000084
pr_000743224,0.252130, 0.000084
pr_000206511,0.252130, 0.000084
pr_000566089,0.252130, 0.000084
pr_001722920,0.252130, 0.000084
pr_000763875,0.252130, 0.000084
pr_001700224,0.252130, 0.000084
pr_000204412,0.252130, 0.000084
pr_001163752,0.252130, 0.000088
pr_000657817,0.252130, 0.000096
pr_000829773,0.252130, 0.000096
pr_000569601,0.252130, 0.000096
pr_000234712,0.252130, 0.000101
pr_000193543,0.252130, 0.000122
pr_000219823,0.252130, 0.000165
pr_000903670,0.252130, 0.000201
pr_000155966,0.252130, 0.000210
pr_000742634,0.252130, 0.000249
pr_000586632,0.252130, 0.000265
pr_000850198,0.252130, 0.000300
pr_000760256,0.252130, 0.000399
pr_000903593,0.252130, 0.000463
pr_001685218,0.252130, 0.000528
pr_000989830,0.252130, 0.000677
pr_001106223,0.252130, 0.000684
pr_000210244,0.252130, 0.000749
pr_001015991,0.252130, 0.000786
pr_001025926,0.252130, 0.001473
us_000538777,0.252130, 0.006298
us_000527934,0.252130, 0.024420
us_000245697,0.252130, 1.092182
us_000505589,0.252130, 1.161716
us_000093803,0.252130, 1.321901
us_000544606,0.231722, 0.000000
us_000507751,0.231722, 0.000000
us_000569161,0.231722, 0.000000
us_000563533,0.231722, 0.000000
pr_000986380,0.231722, 0.000001
pr_000568028,0.231722, 0.000009
pr_000870214,0.231722, 0.000009
pr_000817344,0.231722, 0.000036
us_000511282,0.231722, 0.002024
us_000518675,0.231722, 0.006604
us_000494016,0.231722, 0.009189
us_000479606,0.231722, 0.011091
pr_001162733,0.231722, 0.011680
us_000457563,0.231722, 0.011712
us_000535336,0.231722, 0.017551
us_000541717,0.231722, 0.481579
us_000557243,0.231722, 0.508833
us_000466707,0.231722, 0.509312
us_000464762,0.231722, 0.540427
us_000557058,0.231722, 0.571458
us_000461392,0.231722, 0.593733
us_000129321,0.231722, 0.596920
us_000303868,0.231722, 0.600455
us_000022969,0.231722, 0.614201
us_000398363,0.231722, 0.624804
us_000530051,0.231722, 0.654760
us_000485599,0.231722, 0.655372
us_000486716,0.231722, 0.673149
us_000482952,0.231722, 0.702918
us_000553819,0.231722, 0.722639
us_000145312,0.231722, 0.942199
pr_000576670,0.192445, 0.000000
pr_000736948,0.192445, 0.000000
us_000472773,0.192445, 0.000005
pr_000581817,0.192445, 0.000020
pr_000564289,0.192445, 0.000020
us_000505963,0.192445, 0.000774
us_000498570,0.192445, 0.001451
us_000550708,0.192445, 0.002154
us_000565976,0.192445, 0.004416
us_000517292,0.192445, 0.006396
us_000518296,0.192445, 0.009385
us_000501612,0.192445, 0.032701
us_000554997,0.192445, 0.048979
us_000554664,0.192445, 0.056735
us_000593577,0.192445, 0.062784
us_000483963,0.192445, 0.145811
