Product ID : 911 # of JPs covered : 1 : 198 : Corporate Finance, 
OID,Confidence at Map Node,Error at Map Node
pr_001039793,0.888372, 0.000000
pr_001068605,0.888372, 0.000000
pr_000893697,0.888372, 0.000000
pr_001063494,0.888372, 0.000000
pr_001039738,0.888372, 0.000000
pr_000767962,0.888372, 0.000000
pr_000857821,0.888372, 0.000000
pr_001041801,0.888372, 0.000000
pr_001013683,0.888372, 0.000000
pr_000789561,0.888372, 0.000000
pr_001051139,0.888372, 0.000000
pr_000745787,0.888372, 0.000000
pr_001053364,0.888372, 0.000000
pr_001039906,0.888372, 0.000000
pr_000982576,0.888372, 0.000000
pr_000989885,0.888372, 0.000000
pr_001073919,0.888372, 0.000000
pr_001041214,0.888372, 0.000000
pr_001057110,0.888372, 0.000000
us_000492637,0.888372, 0.000001
pr_000694571,0.888372, 0.000006
pr_001040640,0.888372, 0.000006
pr_001057441,0.888372, 0.000006
pr_000290288,0.888372, 0.000006
pr_001027207,0.888372, 0.000006
pr_001040606,0.888372, 0.000006
pr_000658316,0.888372, 0.000006
pr_001416687,0.888372, 0.000011
pr_000755793,0.888372, 0.000019
pr_000815524,0.888372, 0.000019
pr_001786251,0.888372, 0.000023
pr_001105188,0.888372, 0.000043
pr_001036872,0.888372, 0.000047
us_000610393,0.888372, 0.000270
us_000567706,0.888372, 0.000516
pr_001154623,0.888372, 0.000916
us_000568342,0.888372, 0.004619
us_000461613,0.888372, 0.005659
us_000514688,0.888372, 0.030681
us_000466929,0.888372, 0.065524
us_000605910,0.720246, 0.000001
pr_001056265,0.720246, 0.000002
pr_001072681,0.720246, 0.000002
pr_000398869,0.720246, 0.000009
pr_000400938,0.720246, 0.000010
pr_000401248,0.720246, 0.000010
pr_000788178,0.720246, 0.000012
pr_001843350,0.720246, 0.000012
pr_001114228,0.720246, 0.000012
pr_001767994,0.720246, 0.000012
pr_000774816,0.720246, 0.000012
pr_000820288,0.720246, 0.000012
pr_000850666,0.720246, 0.000022
pr_000885433,0.720246, 0.000022
pr_000779861,0.720246, 0.000025
us_000469081,0.720246, 0.000038
pr_000397943,0.720246, 0.000089
pr_000268758,0.720246, 0.000089
pr_000268369,0.720246, 0.000089
pr_001766721,0.720246, 0.000115
pr_000399329,0.720246, 0.000202
us_000560387,0.720246, 0.000274
pr_000377555,0.720246, 0.000413
us_000503281,0.720246, 0.000519
pr_000244902,0.720246, 0.000703
pr_001835565,0.720246, 0.000736
us_000548622,0.720246, 0.001049
pr_000161918,0.720246, 0.001079
pr_000590346,0.720246, 0.001485
pr_000767638,0.720246, 0.001485
us_000470377,0.720246, 0.001688
pr_000969843,0.720246, 0.002138
us_000533204,0.720246, 0.002189
us_000559878,0.720246, 0.002240
pr_001082201,0.720246, 0.005282
pr_001143112,0.720246, 0.006874
pr_002097464,0.720246, 0.007420
us_000594820,0.720246, 0.015908
us_000506999,0.720246, 0.182204
pr_000288420,0.714449, 0.000000
us_000553602,0.714449, 0.000000
us_000510354,0.714449, 0.000000
us_000617241,0.714449, 0.000000
us_000595782,0.714449, 0.000000
pr_000781138,0.714449, 0.000000
us_000600838,0.714449, 0.000000
us_000503155,0.714449, 0.000000
pr_000183149,0.714449, 0.000000
pr_000008480,0.714449, 0.000001
pr_001908772,0.714449, 0.000002
us_000553257,0.714449, 0.000002
us_000461994,0.714449, 0.000012
pr_000788288,0.714449, 0.000013
us_000539539,0.714449, 0.000019
pr_000013758,0.714449, 0.000025
pr_000553074,0.714449, 0.000045
us_000562645,0.714449, 0.000092
us_000517654,0.714449, 0.000113
pr_000429636,0.714449, 0.000138
us_000463861,0.714449, 0.000229
pr_000559981,0.714449, 0.000296
pr_000162296,0.714449, 0.000310
us_000555002,0.714449, 0.000542
pr_000287517,0.714449, 0.000628
pr_000559147,0.714449, 0.001115
pr_000652595,0.714449, 0.001342
us_000467350,0.714449, 0.001489
us_000372490,0.714449, 0.001565
us_000549831,0.714449, 0.002645
us_000597087,0.714449, 0.003396
us_000501047,0.714449, 0.003505
us_000492307,0.714449, 0.032239
us_000540035,0.598453, 0.000000
pr_000651906,0.598453, 0.000002
us_000512920,0.598453, 0.000019
pr_001149774,0.598453, 0.000088
us_000501143,0.598453, 0.000103
us_000498349,0.598453, 0.000103
us_000502654,0.598453, 0.000103
pr_000903050,0.598453, 0.000117
pr_001806616,0.598453, 0.000128
pr_000930785,0.598453, 0.000151
pr_000874577,0.598453, 0.000151
pr_001134915,0.598453, 0.000154
pr_002077351,0.598453, 0.000154
pr_001961003,0.598453, 0.000154
pr_001029050,0.598453, 0.000246
pr_000627459,0.598453, 0.000430
us_000500588,0.598453, 0.000507
us_000522052,0.598453, 0.000673
us_000610450,0.598453, 0.000689
us_000594830,0.598453, 0.000693
us_000612430,0.598453, 0.000733
pr_000756997,0.598453, 0.001035
us_000588669,0.598453, 0.001129
us_000577052,0.598453, 0.001609
