Product ID : 2104 # of JPs covered : 1 : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000504558,0.247946, 0.124289
us_000527798,0.247946, 0.124289
us_000509343,0.247946, 0.124289
us_000504781,0.247946, 0.124289
us_000527825,0.247946, 0.124289
us_000527801,0.247946, 0.124289
us_000527817,0.247946, 0.124289
us_000544929,0.247946, 0.124289
us_000570181,0.247946, 0.125608
us_000596501,0.247946, 0.125608
us_000598994,0.247946, 0.125625
us_000598997,0.247946, 0.125625
us_000581053,0.247946, 0.125625
us_000581779,0.247946, 0.125625
us_000598996,0.247946, 0.125625
us_000598995,0.247946, 0.125625
us_000581830,0.247946, 0.125625
us_000581087,0.247946, 0.125625
us_000589613,0.247946, 0.125644
us_000589756,0.247946, 0.125644
us_000588032,0.247946, 0.125644
us_000598811,0.247946, 0.125644
us_000593746,0.247946, 0.125644
us_000579225,0.247946, 0.125644
us_000589757,0.247946, 0.125644
us_000588036,0.247946, 0.125644
us_000612917,0.247946, 0.125665
us_000584132,0.247946, 0.125665
us_000612918,0.247946, 0.125665
us_000589545,0.247946, 0.125665
us_000586827,0.247946, 0.125665
us_000589573,0.247946, 0.125665
us_000527082,0.247946, 0.127214
us_000561410,0.247946, 0.127214
us_000312231,0.247946, 0.127214
us_000536570,0.247946, 0.127214
us_000562596,0.247946, 0.127214
us_000529181,0.247946, 0.127214
us_000562584,0.247946, 0.127214
us_000543548,0.247946, 0.127214
us_000524850,0.247946, 0.127214
us_000605051,0.247946, 0.127214
us_000607453,0.247946, 0.127214
us_000602385,0.247946, 0.127214
us_000561409,0.247946, 0.127214
us_000562597,0.247946, 0.127214
us_000562555,0.247946, 0.127214
us_000572009,0.247946, 0.127214
us_000560947,0.247946, 0.127214
us_000549995,0.247946, 0.127214
us_000499978,0.247946, 0.127214
us_000612473,0.247946, 0.127971
us_000608056,0.247946, 0.127997
us_000582623,0.247946, 0.128082
us_000527534,0.247946, 0.128123
us_000589904,0.247946, 0.128137
us_000599534,0.247946, 0.128137
