Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
us_000460032,0.826390, 0.337215
us_000143143,0.826390, 0.337215
us_000548345,0.826390, 0.337491
us_000510295,0.826390, 0.338026
us_000586554,0.826390, 0.340452
us_000469594,0.826390, 0.340818
us_000513595,0.826390, 0.341972
us_000596484,0.826390, 0.342211
us_000595876,0.826390, 0.342262
us_000489121,0.826390, 0.342530
us_000528618,0.826390, 0.343031
us_000572689,0.826390, 0.343670
us_000133072,0.826390, 0.344028
us_000607847,0.826390, 0.344385
us_000599834,0.826390, 0.345924
us_000473408,0.826390, 0.346064
us_000589660,0.826390, 0.346796
us_000476377,0.826390, 0.347451
us_000560155,0.826390, 0.347625
us_000565865,0.826390, 0.347931
us_000614916,0.826390, 0.348136
us_000592857,0.826390, 0.348266
us_000582633,0.826390, 0.348462
us_000231222,0.826390, 0.348800
us_000537289,0.826390, 0.348833
us_000481068,0.826390, 0.349108
us_000601796,0.826390, 0.349156
us_000487832,0.826390, 0.349677
us_000475656,0.826390, 0.349934
us_000553746,0.826390, 0.350561
us_000467019,0.826390, 0.351383
us_000543580,0.826390, 0.352007
us_000584602,0.826390, 0.352468
us_000576048,0.826390, 0.352631
us_000469554,0.826390, 0.352651
us_000469621,0.826390, 0.352651
us_000484066,0.826390, 0.352651
us_000613911,0.826390, 0.353583
us_000610260,0.826390, 0.353774
us_000417104,0.826390, 0.353827
us_000580452,0.826390, 0.353883
us_000551868,0.826390, 0.354211
us_000577403,0.826390, 0.354354
us_000576999,0.826390, 0.355259
us_000581763,0.826390, 0.355593
us_000498155,0.826390, 0.356047
us_000459946,0.826390, 0.356269
us_000529256,0.826390, 0.356358
us_000458625,0.826390, 0.356504
us_000567396,0.826390, 0.356717
us_000065849,0.826390, 0.356747
us_000474037,0.826390, 0.356747
us_000460372,0.826390, 0.356747
us_000566301,0.826390, 0.357352
us_000554213,0.826390, 0.357571
us_000471130,0.826390, 0.357742
us_000365590,0.826390, 0.357907
us_000113403,0.826390, 0.357907
us_000471390,0.826390, 0.357907
us_000467507,0.826390, 0.357907
us_000576705,0.826390, 0.358036
us_000598609,0.826390, 0.358334
us_000591912,0.826390, 0.358462
us_000598454,0.826390, 0.359000
