Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
pr_000664607,0.029430, 0.018366
us_000538874,0.029430, 0.018366
us_000499131,0.029430, 0.018366
us_000583223,0.029430, 0.018366
us_000464180,0.029430, 0.018366
us_000462221,0.029430, 0.018366
us_000590451,0.029430, 0.018366
us_000498984,0.029430, 0.018366
us_000471238,0.029430, 0.018366
us_000463584,0.029430, 0.018366
us_000499407,0.029430, 0.018366
us_000541378,0.029430, 0.018366
us_000465652,0.029430, 0.018366
us_000517898,0.029430, 0.018366
us_000616387,0.029430, 0.018366
us_000463356,0.029430, 0.018366
us_000487222,0.029430, 0.018366
us_000616390,0.029430, 0.018366
us_000476810,0.029430, 0.018366
us_000468979,0.029430, 0.018366
us_000073338,0.029430, 0.018366
us_000464822,0.029430, 0.018366
us_000492816,0.029430, 0.018366
us_000503946,0.029430, 0.018366
us_000471838,0.029430, 0.018366
us_000466714,0.029430, 0.018366
us_000475282,0.029430, 0.018366
us_000462411,0.029430, 0.018366
us_000465824,0.029430, 0.018366
us_000348660,0.029430, 0.018366
us_000518711,0.029430, 0.018366
us_000504024,0.029430, 0.018366
us_000484354,0.029430, 0.018366
us_000476795,0.029430, 0.018366
us_000611151,0.029430, 0.018366
us_000464778,0.029430, 0.018366
us_000616386,0.029430, 0.018366
us_000464147,0.029430, 0.018366
us_000459695,0.029430, 0.018366
us_000615780,0.029430, 0.018366
us_000533042,0.029430, 0.018366
us_000578795,0.029430, 0.018366
us_000244510,0.029430, 0.018366
us_000483333,0.029430, 0.018366
us_000469914,0.029430, 0.018366
us_000557862,0.029430, 0.018366
us_000469847,0.029430, 0.018366
us_000475432,0.029430, 0.018366
us_000538114,0.029430, 0.018366
us_000470754,0.029430, 0.018366
us_000463451,0.029430, 0.018366
us_000480521,0.029430, 0.018366
us_000473479,0.029430, 0.018366
us_000480163,0.029430, 0.018366
us_000463276,0.029430, 0.018366
us_000441893,0.029430, 0.018366
us_000488624,0.029430, 0.018366
us_000469535,0.029430, 0.018366
us_000465605,0.029430, 0.018366
us_000537397,0.029430, 0.018366
us_000173142,0.029430, 0.018366
us_000468817,0.029430, 0.018366
us_000466730,0.029430, 0.018366
