Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
us_000527644,0.965076,0.375405
us_000591077,0.965076,0.731106
us_000472647,0.965076,0.767413
us_000501214,0.963325,0.336924
us_000563748,0.963325,0.336948
us_000509729,0.963325,0.336949
us_000507618,0.963325,0.336974
us_000502050,0.963325,0.337044
us_000501658,0.963325,0.337053
us_000500390,0.963325,0.337068
us_000497224,0.963325,0.337090
us_000495790,0.963325,0.337131
us_000556837,0.963325,0.337154
us_000556793,0.963325,0.337155
us_000555282,0.963325,0.337157
us_000491837,0.963325,0.337185
us_000554590,0.963325,0.337206
us_000485732,0.963325,0.337255
us_000550109,0.963325,0.337307
us_000550059,0.963325,0.337308
us_000549755,0.963325,0.337315
us_000549754,0.963325,0.337315
us_000478314,0.963325,0.337334
us_000472924,0.963325,0.337385
us_000469235,0.963325,0.337433
us_000468494,0.963325,0.337447
us_000468501,0.963325,0.337447
us_000468483,0.963325,0.337447
us_000468415,0.963325,0.337448
us_000528012,0.963325,0.337668
us_000525982,0.963325,0.337690
us_000520502,0.963325,0.337748
us_000619261,0.963325,0.337751
us_000514939,0.963325,0.337797
us_000512068,0.963325,0.337820
us_000510743,0.963325,0.337831
us_000501765,0.963325,0.337889
us_000501031,0.963325,0.337895
us_000500511,0.963325,0.337898
us_000500397,0.963325,0.337899
us_000492180,0.963325,0.337955
us_000487163,0.963325,0.337983
us_000479363,0.963325,0.338027
us_000479356,0.963325,0.338027
us_000478901,0.963325,0.338029
us_000476526,0.963325,0.338042
us_000476398,0.963325,0.338042
us_000472850,0.963325,0.338059
us_000399418,0.963325,0.338068
us_000469576,0.963325,0.338078
us_000448606,0.963325,0.338081
us_000466717,0.963325,0.338104
us_000425054,0.963325,0.338137
us_000462694,0.963325,0.338138
us_000462675,0.963325,0.338139
us_000461229,0.963325,0.338149
pr_000727881,0.963325,0.338729
pr_001634350,0.963325,0.338729
pr_000993470,0.963325,0.338729
pr_001651234,0.963325,0.338729
pr_000823149,0.963325,0.338729
pr_001127976,0.963325,0.338729
pr_000655298,0.963325,0.338729
pr_001127100,0.963325,0.338729
pr_001126805,0.963325,0.338729
pr_000876630,0.963325,0.338729
pr_001126740,0.963325,0.338729
pr_001128323,0.963325,0.338729
pr_000712750,0.963325,0.338729
pr_000905609,0.963325,0.338729
pr_001008717,0.963325,0.338729
pr_002121255,0.963325,0.338729
pr_000993036,0.963325,0.338729
pr_000992557,0.963325,0.338729
pr_001142788,0.963325,0.338729
pr_000776842,0.963325,0.338729
pr_001130531,0.963325,0.338729
pr_000695765,0.963325,0.338729
pr_001127101,0.963325,0.338729
pr_001997296,0.963325,0.338729
pr_001129328,0.963325,0.338729
pr_001130272,0.963325,0.338729
pr_001128052,0.963325,0.338729
pr_001941623,0.963325,0.338729
pr_001040325,0.963325,0.338729
pr_001126067,0.963325,0.338729
pr_001131277,0.963325,0.338729
pr_001127102,0.963325,0.338729
pr_000557589,0.963325,0.338729
pr_001126108,0.963325,0.338729
pr_000995312,0.963325,0.338729
pr_001124560,0.963325,0.338729
pr_000713037,0.963325,0.338729
pr_001015504,0.963325,0.338729
pr_001582796,0.963325,0.338729
pr_001130420,0.963325,0.338729
pr_000559211,0.963325,0.338729
pr_000993108,0.963325,0.338729
pr_001084812,0.963325,0.338729
pr_000715152,0.963325,0.338729
pr_001127386,0.963325,0.338729
pr_000940746,0.963325,0.338729
pr_001128071,0.963325,0.338729
pr_001126809,0.963325,0.338729
pr_001130150,0.963325,0.338729
pr_001126756,0.963325,0.338729
pr_001127929,0.963325,0.338729
pr_000512858,0.963325,0.338729
pr_001127307,0.963325,0.338729
pr_001142421,0.963325,0.338729
pr_001129348,0.963325,0.338729
pr_001128712,0.963325,0.338729
pr_001126610,0.963325,0.338729
pr_001089642,0.963325,0.338729
pr_001128930,0.963325,0.338729
pr_001782579,0.963325,0.338729
