Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
pr_000903002,0.351804, 0.084883
pr_001690331,0.351804, 0.084883
pr_001043173,0.351804, 0.084883
pr_000629691,0.351804, 0.084883
pr_000560789,0.351804, 0.084883
pr_001042707,0.351804, 0.084883
pr_000723542,0.351804, 0.084883
pr_001014985,0.351804, 0.084883
pr_000816391,0.351804, 0.084883
pr_000636294,0.351804, 0.084883
pr_000636242,0.351804, 0.084883
pr_000872564,0.351804, 0.084883
pr_000906536,0.351804, 0.084883
pr_000700854,0.351804, 0.084883
pr_001001803,0.351804, 0.084883
pr_000522298,0.351804, 0.084883
pr_001043641,0.351804, 0.084883
pr_000718725,0.351804, 0.084883
pr_000636841,0.351804, 0.084883
pr_000695454,0.351804, 0.084883
pr_001042475,0.351804, 0.084883
pr_000631693,0.351804, 0.084883
pr_000368774,0.351804, 0.084883
pr_001042213,0.351804, 0.084883
pr_000631830,0.351804, 0.084883
pr_001042159,0.351804, 0.084883
pr_000738754,0.351804, 0.084883
pr_000713186,0.351804, 0.084883
pr_000653408,0.351804, 0.084883
pr_001041232,0.351804, 0.084883
pr_000718682,0.351804, 0.084883
pr_000819239,0.351804, 0.084883
pr_001041494,0.351804, 0.084883
pr_000752774,0.351804, 0.084883
pr_000655929,0.351804, 0.084883
pr_000788311,0.351804, 0.084883
pr_000718728,0.351804, 0.084883
pr_000557588,0.351804, 0.084883
pr_000920889,0.351804, 0.084883
pr_000633645,0.351804, 0.084883
pr_001582661,0.351804, 0.084883
pr_000633325,0.351804, 0.084883
pr_000776792,0.351804, 0.084883
pr_000748932,0.351804, 0.084883
pr_000853281,0.351804, 0.084883
pr_001042531,0.351804, 0.084883
pr_001023839,0.351804, 0.084883
pr_000557473,0.351804, 0.084883
pr_000841338,0.351804, 0.084883
pr_001042661,0.351804, 0.084883
pr_000633892,0.351804, 0.084883
pr_000867358,0.351804, 0.084883
pr_001041647,0.351804, 0.084883
pr_000636748,0.351804, 0.084883
pr_000919400,0.351804, 0.084883
pr_000634043,0.351804, 0.084883
pr_000923165,0.351804, 0.084883
pr_000752153,0.351804, 0.084883
pr_000645144,0.351804, 0.084883
pr_000908339,0.351804, 0.084883
pr_001044751,0.351804, 0.084883
pr_000631055,0.351804, 0.084883
pr_001003895,0.351804, 0.084883
pr_000520194,0.351804, 0.084883
pr_000719964,0.351804, 0.084883
pr_001041119,0.351804, 0.084883
pr_001044031,0.351804, 0.084883
pr_000813621,0.351804, 0.084883
pr_000656522,0.351804, 0.084883
pr_000852993,0.351804, 0.084883
pr_000634738,0.351804, 0.084883
pr_000558483,0.351804, 0.084883
pr_000517717,0.351804, 0.084883
pr_000636276,0.351804, 0.084883
pr_000559979,0.351804, 0.084883
pr_001044686,0.351804, 0.084883
pr_001402603,0.351804, 0.084883
pr_000562199,0.351804, 0.084883
pr_000551174,0.351804, 0.084883
pr_000660129,0.351804, 0.084883
pr_000700851,0.351804, 0.084883
pr_001043940,0.351804, 0.084883
pr_000724381,0.351804, 0.084883
pr_000552942,0.351804, 0.084883
pr_001043668,0.351804, 0.084883
pr_001002589,0.351804, 0.084883
pr_000653957,0.351804, 0.084883
pr_000717245,0.351804, 0.084883
pr_000629035,0.351804, 0.084883
pr_000654880,0.351804, 0.084883
pr_000992908,0.351804, 0.084883
pr_000513181,0.351804, 0.084883
pr_000980748,0.351804, 0.084883
pr_000919466,0.351804, 0.084883
pr_000922183,0.351804, 0.084883
pr_000661964,0.351804, 0.084883
pr_000754792,0.351804, 0.084883
pr_000864864,0.351804, 0.084883
pr_001044644,0.351804, 0.084883
pr_000698559,0.351804, 0.084883
pr_000871287,0.351804, 0.084883
pr_001042517,0.351804, 0.084883
pr_000779137,0.351804, 0.084883
pr_000724357,0.351804, 0.084883
pr_000871288,0.351804, 0.084883
pr_000669871,0.351804, 0.084883
pr_001012788,0.351804, 0.084883
pr_000752533,0.351804, 0.084883
pr_000566263,0.351804, 0.084883
pr_000899128,0.351804, 0.084883
pr_000715035,0.351804, 0.084883
pr_000690090,0.351804, 0.084883
pr_000993550,0.351804, 0.084883
pr_001043024,0.351804, 0.084883
pr_000746029,0.351804, 0.084883
pr_000633342,0.351804, 0.084883
pr_000512928,0.351804, 0.084883
pr_001587513,0.351804, 0.084883
pr_001042362,0.351804, 0.084883
pr_000544952,0.351804, 0.084883
pr_001000446,0.351804, 0.084883
pr_000722978,0.351804, 0.084883
pr_000716661,0.351804, 0.084883
pr_000556136,0.351804, 0.084883
pr_001033539,0.351804, 0.084883
pr_000781556,0.351804, 0.084883
pr_000920097,0.351804, 0.084883
pr_000750635,0.351804, 0.084883
pr_000723215,0.351804, 0.084883
pr_000897670,0.351804, 0.084883
pr_000920313,0.351804, 0.084883
pr_000818229,0.351804, 0.084883
pr_001042644,0.351804, 0.084883
pr_000560103,0.351804, 0.084883
pr_000714014,0.351804, 0.084883
pr_000776810,0.351804, 0.084883
pr_000716752,0.351804, 0.084883
pr_001042534,0.351804, 0.084883
pr_000636260,0.351804, 0.084883
pr_000982275,0.351804, 0.084883
pr_001013038,0.351804, 0.084883
pr_000523714,0.351804, 0.084883
pr_001044107,0.351804, 0.084883
pr_000634791,0.351804, 0.084883
pr_000632740,0.351804, 0.084883
pr_000548149,0.351804, 0.084883
pr_001087330,0.351804, 0.084883
pr_000865727,0.351804, 0.084883
pr_000921029,0.351804, 0.084883
