Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
pr_001252391,0.712230,0.000001
pr_001503920,0.712230,0.000001
pr_001326586,0.712230,0.000001
pr_001383436,0.712230,0.000001
pr_001204402,0.712230,0.000001
pr_001267966,0.712230,0.000001
pr_001332107,0.712230,0.000001
pr_001208443,0.712230,0.000001
pr_001301587,0.712230,0.000001
pr_001180343,0.712230,0.000001
pr_001209071,0.712230,0.000001
pr_001343446,0.712230,0.000001
pr_001209992,0.712230,0.000001
pr_001233054,0.712230,0.000001
pr_001187274,0.712230,0.000001
pr_000627987,0.712230,0.000001
pr_001310221,0.712230,0.000001
pr_001327524,0.712230,0.000001
pr_001238583,0.712230,0.000001
pr_001245115,0.712230,0.000001
pr_001238532,0.712230,0.000001
pr_001336571,0.712230,0.000001
pr_001335863,0.712230,0.000001
pr_001185901,0.712230,0.000001
pr_001306610,0.712230,0.000001
pr_001203605,0.712230,0.000001
pr_001343394,0.712230,0.000001
pr_001271241,0.712230,0.000001
pr_001306878,0.712230,0.000001
pr_001187245,0.712230,0.000001
pr_001342825,0.712230,0.000001
pr_001236504,0.712230,0.000001
pr_001308429,0.712230,0.000001
pr_001205050,0.712230,0.000001
pr_001225077,0.712230,0.000001
pr_001279191,0.712230,0.000001
pr_001375989,0.712230,0.000001
pr_001387242,0.712230,0.000001
pr_001228452,0.712230,0.000001
pr_001329738,0.712230,0.000001
pr_001338092,0.712230,0.000001
pr_000629146,0.712230,0.000001
