Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 401 | RP Finance-Tax (jp:401,idx:236)
Class Probability,Ex Count at BMU,BMU Map Loc
0.007352941,6.0,(28|24)
0.007299270,1.0,(3|39)
0.007299270,1.0,(13|29)
0.007246377,2.0,(16|20)
0.007228916,6.0,(24|30)
0.007228916,6.0,(24|31)
0.007194245,1.0,(0|22)
0.007194245,3.0,(21|16)
0.007194245,1.0,(43|39)
0.007142857,2.0,(4|27)
0.007142857,1.0,(6|16)
0.007017544,2.0,(12|11)
0.006993007,4.0,(4|10)
0.006849315,1.0,(29|48)
0.006802721,2.0,(41|46)
0.006756757,1.0,(46|47)
0.006734007,2.0,(29|22)
0.006734007,2.0,(31|22)
0.006718925,6.0,(23|33)
0.006711409,1.0,(34|8)
0.006711409,1.0,(34|10)
0.006688963,2.0,(37|17)
0.006666667,1.0,(2|49)
0.006666667,1.0,(4|46)
0.006666667,1.0,(46|22)
0.006644518,2.0,(47|15)
0.006587615,5.0,(36|36)
0.006535948,1.0,(34|2)
0.006535948,1.0,(36|4)
0.006472492,2.0,(26|22)
0.006451613,1.0,(39|47)
0.006396588,3.0,(22|13)
0.006389776,2.0,(14|27)
0.006389776,2.0,(48|6)
0.006329114,1.0,(26|28)
0.006263048,6.0,(17|28)
0.006230529,2.0,(38|29)
0.006134969,1.0,(3|20)
0.006079027,2.0,(26|8)
0.006060606,3.0,(39|45)
0.006042296,2.0,(34|17)
0.006012024,3.0,(14|32)
0.005997002,4.0,(20|27)
0.005988024,1.0,(46|48)
0.005988024,1.0,(49|1)
0.005952381,1.0,(35|17)
0.005847953,1.0,(5|36)
0.005830904,2.0,(35|16)
0.005813953,1.0,(6|41)
0.005797102,2.0,(48|18)
0.005714286,1.0,(7|34)
0.005714286,2.0,(36|17)
0.005706134,4.0,(21|30)
0.005649718,2.0,(32|19)
0.005649718,2.0,(40|22)
0.005633803,2.0,(0|30)
0.005633803,2.0,(34|30)
0.005617978,1.0,(13|15)
0.005617978,1.0,(15|30)
0.005617978,2.0,(22|32)
0.005602241,2.0,(31|27)
0.005586592,1.0,(33|31)
0.005545286,6.0,(15|40)
0.005524862,1.0,(31|25)
0.005524862,1.0,(33|25)
0.005512679,5.0,(29|47)
0.005509642,2.0,(38|37)
0.005494506,1.0,(6|31)
0.005494506,2.0,(11|41)
0.005434783,1.0,(5|6)
0.005376344,1.0,(35|36)
0.005361930,2.0,(21|46)
0.005291005,1.0,(22|47)
0.005277045,2.0,(38|40)
0.005181347,1.0,(4|34)
0.005181347,1.0,(5|35)
0.005167959,2.0,(22|42)
0.005154639,1.0,(47|43)
0.005149330,5.0,(19|31)
0.005141388,2.0,(21|6)
0.005141388,2.0,(44|47)
0.005128205,1.0,(9|8)
0.005128205,2.0,(23|45)
0.005102041,1.0,(4|7)
0.005102041,1.0,(16|26)
0.005102041,2.0,(23|10)
0.005102041,1.0,(34|20)
0.005025126,1.0,(7|10)
0.005000000,1.0,(36|41)
0.004975124,1.0,(17|22)
0.004975124,1.0,(43|46)
0.004926108,1.0,(48|7)
0.004901961,1.0,(15|16)
0.004901961,1.0,(37|48)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004784689,1.0,(6|10)
0.004784689,1.0,(37|34)
0.004784689,1.0,(42|20)
0.004784689,1.0,(44|38)
0.004716981,1.0,(45|0)
0.004694836,1.0,(12|29)
0.004672897,1.0,(44|15)
0.004640371,4.0,(19|32)
0.004636785,3.0,(15|19)
0.004608295,1.0,(40|0)
0.004566210,1.0,(48|38)
0.004566210,1.0,(48|39)
0.004555809,2.0,(43|23)
0.004545454,1.0,(42|34)
0.004524887,1.0,(45|7)
0.004511278,3.0,(35|44)
0.004424779,1.0,(8|19)
0.004424779,1.0,(40|20)
0.004385965,2.0,(32|43)
0.004366812,1.0,(14|4)
0.004347826,2.0,(47|23)
0.004282655,2.0,(12|28)
0.004273504,1.0,(21|13)
0.004273504,1.0,(37|49)
0.004273504,1.0,(43|3)
0.004255319,1.0,(44|17)
0.004255319,1.0,(44|29)
0.004237288,2.0,(36|15)
0.004184100,1.0,(38|17)
0.004149378,2.0,(21|33)
0.004089979,2.0,(22|8)
0.004081632,2.0,(23|27)
0.004048583,1.0,(41|22)
0.004032258,1.0,(19|27)
0.003976143,2.0,(37|28)
0.003952569,2.0,(25|30)
0.003937008,1.0,(41|7)
0.003926701,3.0,(45|47)
0.003921569,1.0,(29|20)
0.003898636,2.0,(41|48)
0.003846154,1.0,(7|36)
0.003846154,1.0,(13|14)
0.003802281,1.0,(5|10)
0.003802281,1.0,(5|11)
0.003802281,1.0,(24|26)
0.003802281,1.0,(44|48)
0.003766478,2.0,(20|20)
0.003752345,2.0,(38|43)
0.003745318,1.0,(40|37)
0.003683241,2.0,(26|19)
0.003649635,1.0,(17|17)
0.003623188,1.0,(41|35)
0.003610108,2.0,(29|34)
0.003571429,3.0,(35|15)
0.003508772,1.0,(17|21)
0.003496503,1.0,(15|6)
0.003496503,1.0,(24|25)
0.003472222,1.0,(9|31)
0.003472222,1.0,(11|24)
0.003466205,2.0,(12|4)
0.003460208,1.0,(7|18)
0.003448276,1.0,(31|46)
0.003448276,1.0,(43|34)
0.003355705,1.0,(40|34)
0.003350084,2.0,(34|31)
0.003322259,1.0,(23|43)
0.003300330,2.0,(26|33)
0.003284072,2.0,(26|0)
0.003278689,1.0,(34|23)
0.003267974,1.0,(4|9)
0.003257329,1.0,(39|44)
0.003200000,2.0,(13|27)
0.003164557,1.0,(20|47)
0.003125000,1.0,(13|46)
0.003086420,3.0,(27|45)
0.003048780,1.0,(39|37)
0.003030303,1.0,(17|27)
0.002994012,1.0,(34|11)
0.002994012,1.0,(35|11)
0.002949852,1.0,(37|16)
0.002941177,1.0,(41|23)
0.002936858,4.0,(30|21)
0.002932551,1.0,(14|42)
0.002906977,1.0,(34|49)
0.002898551,1.0,(48|47)
0.002890173,1.0,(8|33)
0.002890173,1.0,(27|32)
0.002865330,1.0,(24|22)
0.002857143,1.0,(39|41)
0.002824859,1.0,(43|30)
0.002824859,1.0,(44|30)
0.002770083,1.0,(17|29)
0.002739726,1.0,(17|12)
0.002735978,2.0,(19|29)
0.002732240,1.0,(32|42)
0.002702703,1.0,(21|3)
0.002659574,1.0,(31|2)
0.002645503,2.0,(0|23)
0.002638523,1.0,(28|22)
0.002597403,1.0,(37|30)
0.002583979,1.0,(31|32)
0.002577320,1.0,(9|5)
0.002564103,2.0,(24|33)
0.002518892,1.0,(0|37)
0.002493766,1.0,(6|47)
0.002484472,2.0,(4|30)
0.002481390,1.0,(9|3)
0.002463054,1.0,(14|47)
0.002463054,1.0,(19|12)
0.002463054,1.0,(20|12)
0.002358491,1.0,(19|38)
0.002358491,1.0,(48|16)
0.002325581,1.0,(18|29)
0.002320186,1.0,(20|19)
0.002298851,1.0,(17|38)
0.002298851,1.0,(25|37)
0.002284844,3.0,(32|35)
0.002283105,1.0,(19|16)
0.002222222,1.0,(23|34)
0.002178649,1.0,(37|44)
0.002166847,2.0,(31|47)
0.002150538,2.0,(14|5)
0.002105263,1.0,(11|37)
0.002085506,2.0,(29|42)
0.002032520,1.0,(27|37)
0.002024292,1.0,(15|33)
0.001897533,1.0,(38|44)
0.001893939,1.0,(19|18)
0.001855288,1.0,(16|28)
0.001855288,1.0,(38|41)
0.001850139,2.0,(26|35)
0.001831502,1.0,(25|43)
0.001792115,1.0,(11|20)
0.001782531,1.0,(46|28)
0.001766784,1.0,(38|0)
0.001669449,3.0,(20|29)
0.001619433,2.0,(25|45)
0.001600000,1.0,(36|45)
0.001594896,1.0,(42|25)
0.001561280,2.0,(47|49)
0.001560062,1.0,(20|35)
0.001512859,1.0,(7|31)
0.001406470,1.0,(14|25)
0.001385042,1.0,(30|41)
0.001278772,1.0,(47|31)
0.001127396,1.0,(20|41)
0.001092299,2.0,(34|35)
0.001015228,1.0,(23|37)
0.0009980040,1.0,(35|20)
0.0009551098,1.0,(19|34)
0.0008361204,1.0,(38|47)
0.0007968128,1.0,(40|5)
0.0007645260,1.0,(36|34)
0.0006082725,1.0,(35|40)
0.0005012531,1.0,(22|35)
0.0004814636,1.0,(38|26)
