Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 222 | Contracts (jp:222,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.002092050,1.0,(15|46)
0.002081166,2.0,(21|37)
0.002020202,1.0,(5|45)
0.002020202,1.0,(39|45)
0.001976285,1.0,(25|30)
0.001956947,1.0,(6|28)
0.001897533,1.0,(28|33)
0.001897533,1.0,(38|44)
0.001893939,1.0,(19|18)
0.001883239,1.0,(0|21)
0.001883239,1.0,(49|21)
0.001879699,1.0,(27|41)
0.001862197,1.0,(46|38)
0.001850139,2.0,(26|35)
0.001788909,1.0,(28|29)
0.001766784,1.0,(38|0)
0.001733102,1.0,(12|4)
0.001724138,1.0,(18|22)
0.001724138,1.0,(37|46)
0.001706485,1.0,(25|31)
0.001706485,1.0,(31|37)
0.001706485,1.0,(32|38)
0.001703577,1.0,(29|29)
0.001692047,1.0,(8|21)
0.001600000,1.0,(13|27)
0.001600000,1.0,(36|45)
0.001589825,1.0,(22|41)
0.001561280,2.0,(47|49)
0.001545595,1.0,(8|28)
0.001512859,1.0,(29|28)
0.001512859,1.0,(36|33)
0.001503759,1.0,(19|43)
0.001503759,3.0,(22|35)
0.001468429,2.0,(30|21)
0.001358696,1.0,(24|39)
0.001328021,1.0,(4|24)
0.001317523,1.0,(36|36)
0.001225490,1.0,(28|28)
0.001191895,1.0,(41|38)
0.001129944,1.0,(11|39)
0.001122335,1.0,(31|36)
0.001112966,2.0,(20|29)
0.001042753,1.0,(29|42)
0.001021451,1.0,(29|37)
0.001015228,1.0,(23|37)
0.0008453085,1.0,(31|38)
0.0008396305,1.0,(30|38)
